Time	Price (ETH/USD) – Ethereum
11.07.2018	432.9177
12.07.2018	444.99298
13.07.2018	430.9
14.07.2018	431.8088
15.07.2018	434.12637
16.07.2018	450.20822
17.07.2018	478.2407
18.07.2018	499.57596
19.07.2018	478.86176
20.07.2018	469.04193
21.07.2018	448.83368
22.07.2018	461.42218
23.07.2018	457.32016
24.07.2018	450.55768
25.07.2018	479.9599
26.07.2018	472.551
27.07.2018	462.714
28.07.2018	470.2799
29.07.2018	468.18564
30.07.2018	467.12674
31.07.2018	456.7715
01.08.2018	431.7
02.08.2018	420.6883
03.08.2018	410.85074
04.08.2018	417.8318
05.08.2018	407.218
06.08.2018	408.1443
07.08.2018	404.71976
08.08.2018	378.18414
09.08.2018	355.58774
10.08.2018	364.1824
11.08.2018	331.8939
12.08.2018	318.08563
13.08.2018	318.59717
14.08.2018	283.77
15.08.2018	277.65436
16.08.2018	281.04495
17.08.2018	286.22144
18.08.2018	317.4743
19.08.2018	293.78387
20.08.2018	300.3612
21.08.2018	270.83197
22.08.2018	280.47
23.08.2018	270.0269
24.08.2018	276.60757
25.08.2018	281.01047
26.08.2018	277.87195
27.08.2018	273.83374
28.08.2018	287.60007
29.08.2018	295.6
30.08.2018	288.75885
31.08.2018	283.73825
01.09.2018	281.3887
02.09.2018	295.35098
03.09.2018	295.3973
04.09.2018	289.24695
05.09.2018	285.80563
06.09.2018	228.8538
07.09.2018	229.85873
08.09.2018	215.3651
09.09.2018	196.98917
10.09.2018	196.25482
11.09.2018	197.37567
12.09.2018	185.05
13.09.2018	183.2742
14.09.2018	211.25081
15.09.2018	209.18883
16.09.2018	222.06
17.09.2018	220.20586
18.09.2018	196.01
19.09.2018	208.80609
20.09.2018	209.99
21.09.2018	224.27281
22.09.2018	248.32318
23.09.2018	240.75134
24.09.2018	244.67218
25.09.2018	228.07797
26.09.2018	219.51208
27.09.2018	214.05505
28.09.2018	228.83366
29.09.2018	221.76639
30.09.2018	231.14592
01.10.2018	232.86
02.10.2018	231.62434
03.10.2018	225.65573
04.10.2018	220.68803
05.10.2018	222.488
06.10.2018	228.5941
07.10.2018	225.50264
08.10.2018	226.4313
09.10.2018	230.27884
10.10.2018	228.41069
11.10.2018	226.7495
12.10.2018	191.6414
13.10.2018	196.84334
14.10.2018	201.22
15.10.2018	196.22289
16.10.2018	214.14737
17.10.2018	215
18.10.2018	212.8757
19.10.2018	206.42609
20.10.2018	205.01163
21.10.2018	208.44116
22.10.2018	207.6476
23.10.2018	206.41678
24.10.2018	205.86707
25.10.2018	205.36502
26.10.2018	204.01
27.10.2018	204.99
28.10.2018	204.53
29.10.2018	205.1158
30.10.2018	196.98598
31.10.2018	197.361
01.11.2018	199.0531
02.11.2018	200.22923
03.11.2018	202.71042
04.11.2018	200.07878
05.11.2018	212.05
06.11.2018	210.65541
07.11.2018	220.57999
08.11.2018	218.9006
